X坐标_m,Y坐标_m,污染物浓度_mg/L
0.0,0.0,0.0
13.131313131313131,0.0,0.0
26.262626262626263,0.0,0.0
39.39393939393939,0.0,0.0
52.525252525252526,0.0,0.0
65.65656565656566,0.0,0.0
78.78787878787878,0.0,0.0
91.91919191919192,0.0,0.0
105.05050505050505,0.0,0.0
118.18181818181819,0.0,0.0
131.31313131313132,0.0,0.0
144.44444444444446,0.0,0.0
157.57575757575756,0.0,0.0
170.7070707070707,0.0,0.0
183.83838383838383,0.0,0.0
196.96969696969697,0.0,0.0
210.1010101010101,0.0,0.0
223.23232323232324,0.0,0.0
236.36363636363637,0.0,0.0
249.4949494949495,0.0,0.0
262.62626262626264,0.0,0.0
275.75757575757575,0.0,0.0
288.8888888888889,0.0,0.0
302.020202020202,0.0,0.0
315.1515151515151,0.0,0.0
328.2828282828283,0.0,0.0
341.4141414141414,0.0,0.0
354.54545454545456,0.0,0.0
367.67676767676767,0.0,0.0
380.80808080808083,0.0,0.0
393.93939393939394,0.0,0.0
407.0707070707071,0.0,0.0
420.2020202020202,0.0,0.0
433.3333333333333,0.0,0.0
446.4646464646465,0.0,0.0
459.5959595959596,0.0,0.0
472.72727272727275,0.0,0.0
485.85858585858585,0.0,0.0
498.989898989899,0.0,0.0
512.1212121212121,0.0,0.0
525.2525252525253,0.0,0.0
538.3838383838383,0.0,0.0
551.5151515151515,0.0,0.0
564.6464646464647,0.0,0.0
577.7777777777778,0.0,0.0
590.9090909090909,0.0,0.0
604.040404040404,0.0,0.0
617.1717171717172,0.0,0.0
630.3030303030303,0.0,0.0
643.4343434343434,0.0,0.0
656.5656565656566,0.0,0.0
669.6969696969697,0.0,0.0
682.8282828282828,0.0,0.0
695.959595959596,0.0,0.0
709.0909090909091,0.0,0.0
722.2222222222223,0.0,0.0
735.3535353535353,0.0,0.0
748.4848484848485,0.0,0.0
761.6161616161617,0.0,0.0
774.7474747474747,0.0,0.0
787.8787878787879,0.0,0.0
801.010101010101,0.0,0.0
814.1414141414142,0.0,0.0
827.2727272727273,0.0,0.0
840.4040404040404,0.0,0.0
853.5353535353536,0.0,0.0
866.6666666666666,0.0,0.0
879.7979797979798,0.0,0.0
892.929292929293,0.0,0.0
906.0606060606061,0.0,0.0
919.1919191919192,0.0,0.0
932.3232323232323,0.0,0.0
945.4545454545455,0.0,0.0
958.5858585858585,0.0,0.0
971.7171717171717,0.0,0.0
984.8484848484849,0.0,0.0
997.979797979798,0.0,0.0
1011.1111111111111,0.0,0.0
1024.2424242424242,0.0,0.0
1037.3737373737374,0.0,0.0
1050.5050505050506,0.0,0.0
1063.6363636363637,0.0,0.0
1076.7676767676767,0.0,0.0
1089.8989898989898,0.0,0.0
1103.030303030303,0.0,0.0
1116.1616161616162,0.0,0.0
1129.2929292929293,0.0,0.0
1142.4242424242425,0.0,0.0
1155.5555555555557,0.0,0.0
1168.6868686868686,0.0,0.0
1181.8181818181818,0.0,0.0
1194.949494949495,0.0,0.0
1208.080808080808,0.0,0.0
1221.2121212121212,0.0,0.0
1234.3434343434344,0.0,0.0
1247.4747474747476,0.0,0.0
1260.6060606060605,0.0,0.0
1273.7373737373737,0.0,0.0
1286.8686868686868,0.0,0.0
1300.0,0.0,0.0
0.0,8.080808080808081,0.0
13.131313131313131,8.080808080808081,0.0
26.262626262626263,8.080808080808081,0.0
39.39393939393939,8.080808080808081,0.0
52.525252525252526,8.080808080808081,0.0
65.65656565656566,8.080808080808081,0.0
78.78787878787878,8.080808080808081,0.0
91.91919191919192,8.080808080808081,0.0
105.05050505050505,8.080808080808081,0.0
118.18181818181819,8.080808080808081,0.0
131.31313131313132,8.080808080808081,0.0
144.44444444444446,8.080808080808081,0.0
157.57575757575756,8.080808080808081,0.0
170.7070707070707,8.080808080808081,0.0
183.83838383838383,8.080808080808081,0.0
196.96969696969697,8.080808080808081,0.0
210.1010101010101,8.080808080808081,0.0
223.23232323232324,8.080808080808081,0.0
236.36363636363637,8.080808080808081,0.0
249.4949494949495,8.080808080808081,0.0
262.62626262626264,8.080808080808081,0.0
275.75757575757575,8.080808080808081,0.0
288.8888888888889,8.080808080808081,0.0
