X坐标_m,Y坐标_m,污染物浓度_mg/L
0.0,0.0,3.7506017655640744e-23
13.131313131313131,0.0,7.272890364138197e-23
26.262626262626263,0.0,1.3963114587683607e-22
39.39393939393939,0.0,2.654139913722222e-22
52.525252525252526,0.0,4.994920317382004e-22
65.65656565656566,0.0,9.306651729028415e-22
78.78787878787878,0.0,1.7167827022797737e-21
91.91919191919192,0.0,3.1353852054271088e-21
105.05050505050505,0.0,5.669135659895781e-21
118.18181818181819,0.0,1.0148216980372055e-20
131.31313131313132,0.0,1.7984819926762188e-20
144.44444444444446,0.0,3.1554574563359696e-20
157.57575757575756,0.0,5.480937015042343e-20
170.7070707070707,0.0,9.424966922437315e-20
183.83838383838383,0.0,1.6044774989731753e-19
196.96969696969697,0.0,2.7040354070902767e-19
210.1010101010101,0.0,4.511408826241861e-19
223.23232323232324,0.0,7.451250041515541e-19
236.36363636363637,0.0,1.2183140811361204e-18
249.4949494949495,0.0,1.971962093835648e-18
262.62626262626264,0.0,3.159679291769952e-18
275.75757575757575,0.0,5.011740073148185e-18
288.8888888888889,0.0,7.86920948008478e-18
302.020202020202,0.0,1.2231131709921221e-17
315.1515151515151,0.0,1.8818763746508268e-17
328.2828282828283,0.0,2.8661598361658384e-17
341.4141414141414,0.0,4.321062753859539e-17
354.54545454545456,0.0,6.448483786179581e-17
367.67676767676767,0.0,9.525715089572277e-17
380.80808080808083,0.0,1.3928572973116488e-16
393.93939393939394,0.0,2.0159553680847176e-16
407.0707070707071,0.0,2.8881299349160674e-16
420.2020202020202,0.0,4.0955330424582103e-16
433.3333333333333,0.0,5.748552480102266e-16
446.4646464646465,0.0,7.986518678144171e-16
459.5959595959596,0.0,1.098257504791795e-15
472.72727272727275,0.0,1.4948422191578778e-15
485.85858585858585,0.0,2.0138542670907877e-15
498.989898989899,0.0,2.685340705365528e-15
512.1212121212121,0.0,3.5441064379562067e-15
525.2525252525253,0.0,4.629644459603715e-15
538.3838383838383,0.0,5.985766275239422e-15
551.5151515151515,0.0,7.659863163693063e-15
564.6464646464647,0.0,9.70173770380729e-15
577.7777777777778,0.0,1.2161962062533916e-14
590.9090909090909,0.0,1.5089745642583034e-14
604.040404040404,0.0,1.853032963791405e-14
617.1717171717172,0.0,2.252196861683723e-14
630.3030303030303,0.0,2.7092607012352488e-14
643.4343434343434,0.0,3.225640771294813e-14
656.5656565656566,0.0,3.8010336139866215e-14
669.6969696969697,0.0,4.4331040896709015e-14
682.8282828282828,0.0,5.117229572800738e-14
695.959595959596,0.0,5.846327203134033e-14
709.0909090909091,0.0,6.610789261470553e-14
722.2222222222223,0.0,7.398547372375408e-14
735.3535353535353,0.0,8.19527939555191e-14
748.4848484848485,0.0,8.984763865954403e-14
761.6161616161617,0.0,9.74937627185399e-14
774.7474747474747,0.0,1.0470710155786706e-13
787.8787878787879,0.0,1.113029499636091e-13
801.010101010101,0.0,1.1710373164865078e-13
814.1414141414142,0.0,1.2194690990134848e-13
827.2727272727273,0.0,1.2569254978949437e-13
840.4040404040404,0.0,1.2823004114769525e-13
853.5353535353536,0.0,1.2948353113497127e-13
866.6666666666666,0.0,1.2941569356541683e-13
879.7979797979798,0.0,1.2802957345975175e-13
892.929292929293,0.0,1.253683797841625e-13
906.0606060606061,0.0,1.2151324505509727e-13
919.1919191919192,0.0,1.1657911411560424e-13
932.3232323232323,0.0,1.107090529283623e-13
945.4545454545455,0.0,1.0406737039137854e-13
958.5858585858585,0.0,9.683201358857033e-14
971.7171717171717,0.0,8.918672490395211e-14
984.8484848484849,0.0,8.131343751199103e-14
997.979797979798,0.0,7.338533730974769e-14
1011.1111111111111,0.0,6.556094112362478e-14
1024.2424242424242,0.0,5.797944214056272e-14
1037.3737373737374,0.0,5.07574643484108e-14
1050.5050505050506,0.0,4.398725872039318e-14
1063.6363636363637,0.0,3.773627427668684e-14
1076.7676767676767,0.0,3.204795440905705e-14
1089.8989898989898,0.0,2.694354789687562e-14
1103.030303030303,0.0,2.2424687134629175e-14
1116.1616161616162,0.0,1.8476472941124734e-14
1129.2929292929293,0.0,1.5070813477750946e-14
1142.4242424242425,0.0,1.2169790229050407e-14
1155.5555555555557,0.0,9.728861727494409e-15
1168.6868686868686,0.0,7.69976049547766e-15
1181.8181818181818,0.0,6.032985587963148e-15
1194.949494949495,0.0,4.679837939214323e-15
1208.080808080808,0.0,3.593985245854383e-15
1221.2121212121212,0.0,2.7325752774618645e-15
1234.3434343434344,0.0,2.0569403090595415e-15
1247.4747474747476,0.0,1.5329507846189428e-15
1260.6060606060605,0.0,1.1310840586322036e-15
1273.7373737373737,0.0,8.262753396151891e-16
1286.8686868686868,0.0,5.976142586798575e-16
1300.0,0.0,4.279433525448651e-16
0.0,8.080808080808081,9.633293302278205e-23
13.131313131313131,8.080808080808081,1.8687310479883846e-22
26.262626262626263,8.080808080808081,3.589130599523475e-22
39.39393939393939,8.080808080808081,6.8249448131243965e-22
52.525252525252526,8.080808080808081,1.284911853998527e-21
65.65656565656566,8.080808080808081,2.395017171052615e-21
78.78787878787878,8.080808080808081,4.41979100982853e-21
91.91919191919192,8.080808080808081,8.075125051338724e-21
105.05050505050505,8.080808080808081,1.4606552429531734e-20
118.18181818181819,8.080808080808081,2.6157339338033455e-20
131.31313131313132,8.080808080808081,4.637491658159595e-20
144.44444444444446,8.080808080808081,8.139780908207836e-20
157.57575757575756,8.080808080808081,1.4144202922171373e-19
170.7070707070707,8.080808080808081,2.43319292083953e-19
183.83838383838383,8.080808080808081,4.143839786161051e-19
196.96969696969697,8.080808080808081,6.986403897022476e-19
210.1010101010101,8.080808080808081,1.166070100206334e-18
223.23232323232324,8.080808080808081,1.926689476641128e-18
236.36363636363637,8.080808080808081,3.1514519986017303e-18
249.4949494949495,8.080808080808081,5.102903324666312e-18
262.62626262626264,8.080808080808081,8.179511929610309e-18
275.75757575757575,8.080808080808081,1.2978860093251492e-17
288.8888888888889,8.080808080808081,2.0386398570407345e-17
302.020202020202,8.080808080808081,3.1698225345499927e-17
315.1515151515151,8.080808080808081,4.878828409364396e-17
328.2828282828283,8.080808080808081,7.433237143953966e-17
341.4141414141414,8.080808080808081,1.121031961081429e-16
354.54545454545456,8.080808080808081,1.6735215504818745e-16
367.67676767676767,8.080808080808081,2.4729408210254054e-16
380.80808080808083,8.080808080808081,3.61710474970984e-16
393.93939393939394,8.080808080808081,5.236840108421737e-16
407.0707070707071,8.080808080808081,7.504718529146306e-16
420.2020202020202,8.080808080808081,1.064516660978923e-15
433.3333333333333,8.080808080808081,1.4945817717503922e-15
446.4646464646465,8.080808080808081,2.0769803432137487e-15
459.5959595959596,8.080808080808081,2.8568473544334318e-15
472.72727272727275,8.080808080808081,3.889378727048695e-15
485.85858585858585,8.080808080808081,5.240934663021815e-15
498.989898989899,8.080808080808081,6.989876534059395e-15
512.1212121212121,8.080808080808081,9.226981101727228e-15
525.2525252525253,8.080808080808081,1.2055256061959035e-14
538.3838383838383,8.080808080808081,1.5588971054534404e-14
551.5151515151515,8.080808080808081,1.9951722774222848e-14
564.6464646464647,8.080808080808081,2.5273375849016763e-14
577.7777777777778,8.080808080808081,3.168576604327247e-14
590.9090909090909,8.080808080808081,3.93171208837814e-14
604.040404040404,8.080808080808081,4.828524454362962e-14
617.1717171717172,8.080808080808081,5.868962548965638e-14
630.3030303030303,8.080808080808081,7.060275058550372e-14
643.4343434343434,8.080808080808081,8.406103846820736e-14
656.5656565656566,8.080808080808081,9.905592578308704e-14
669.6969696969697,8.080808080808081,1.155257381542899e-13
682.8282828282828,8.080808080808081,1.3334903901240088e-13
695.959595959596,8.080808080808081,1.5234016026774705e-13
709.0909090909091,8.080808080808081,1.7224756910213204e-13
722.2222222222223,8.080808080808081,1.9275560957662845e-13
735.3535353535353,8.080808080808081,2.1348997744002548e-13
748.4848484848485,8.080808080808081,2.340270498499993e-13
761.6161616161617,8.080808080808081,2.539069143584583e-13
774.7474747474747,8.080808080808081,2.726496455180673e-13
787.8787878787879,8.080808080808081,2.897740894240611e-13
801.010101010101,8.080808080808081,3.0481816488543965e-13
814.1414141414142,8.080808080808081,3.173595019234643e-13
827.2727272727273,8.080808080808081,3.2703513657459574e-13
840.4040404040404,8.080808080808081,3.335589806701407e-13
853.5353535353536,8.080808080808081,3.3673589178875264e-13
866.6666666666666,8.080808080808081,3.3647137649140085e-13
879.7979797979798,8.080808080808081,3.3277625313487223e-13
892.929292929293,8.080808080808081,3.2576595372693936e-13
906.0606060606061,8.080808080808081,3.1565452563246976e-13
919.1919191919192,8.080808080808081,3.0274376865339984e-13
932.3232323232323,8.080808080808081,2.874082771416403e-13
945.4545454545455,8.080808080808081,2.700774210291257e-13
958.5858585858585,8.080808080808081,2.5121547237818055e-13
971.7171717171717,8.080808080808081,2.313011535290045e-13
984.8484848484849,8.080808080808081,2.1080784813518203e-13
997.979797979798,8.080808080808081,1.9018558660545132e-13
1011.1111111111111,8.080808080808081,1.6984571064981036e-13
1024.2424242424242,8.080808080808081,1.5014886184120017e-13
1037.3737373737374,8.080808080808081,1.3139665352619707e-13
1050.5050505050506,8.080808080808081,1.1382710117447086e-13
1063.6363636363637,8.080808080808081,9.761362757799446e-14
1076.7676767676767,8.080808080808081,8.286724531290328e-14
1089.8989898989898,8.080808080808081,6.964136216889062e-14
1103.030303030303,8.080808080808081,5.793856144637849e-14
1116.1616161616162,8.080808080808081,4.771867709603873e-14
1129.2929292929293,8.080808080808081,3.8907507015285735e-14
1142.4242424242425,8.080808080808081,3.140557573413708e-14
1155.5555555555557,8.080808080808081,2.5096457183741298e-14
1168.6868686868686,8.080808080808081,1.9854285565834378e-14
1181.8181818181818,8.080808080808081,1.5550204686304587e-14
1194.949494949495,8.080808080808081,1.2057622593935668e-14
1208.080808080808,8.080808080808081,9.256240746019297e-15
1221.2121212121212,8.080808080808081,7.034909909662794e-15
1234.3434343434344,8.080808080808081,5.293426146657985e-15
1247.4747474747476,8.080808080808081,3.943419533438333e-15
1260.6060606060605,8.080808080808081,2.908507663540407e-15
1273.7373737373737,8.080808080808081,2.123888682873367e-15
1286.8686868686868,8.080808080808081,1.535538505327029e-15
1300.0,8.080808080808081,1.0991579723753804e-15
0.0,16.161616161616163,2.4288258439409865e-22
13.131313131313131,16.161616161616163,4.713461037026419e-22
26.262626262626263,16.161616161616163,9.056394957619966e-22
39.39393939393939,16.161616161616163,1.7228186224964547e-21
52.525252525252526,16.161616161616163,3.2448103165003765e-21
65.65656565656566,16.161616161616163,6.050639884876337e-21
78.78787878787878,16.161616161616163,1.1170487176314221e-20
91.91919191919192,16.161616161616163,2.041729583619588e-20
105.05050505050505,16.161616161616163,3.6946730363770345e-20
118.18181818181819,16.161616161616163,6.619143097523137e-20
131.31313131313132,16.161616161616163,1.1740097151606498e-19
144.44444444444446,16.161616161616163,2.0614930434598603e-19
157.57575757575756,16.161616161616163,3.583672630758143e-19
170.7070707070707,16.161616161616163,6.167469149459474e-19
183.83838383838383,16.161616161616163,1.0507845680249951e-18
196.96969696969697,16.161616161616163,1.7723284101389894e-18
210.1010101010101,16.161616161616163,2.9593356272437926e-18
223.23232323232324,16.161616161616163,4.8916952006910785e-18
236.36363636363637,16.161616161616163,8.004519568655253e-18
249.4949494949495,16.161616161616163,1.2966339589043363e-17
262.62626262626264,16.161616161616163,2.079223765377509e-17
275.75757575757575,16.161616161616163,3.300518958143313e-17
288.8888888888889,16.161616161616163,5.18627825698762e-17
302.020202020202,16.161616161616163,8.067098890714466e-17
315.1515151515151,16.161616161616163,1.2421164969610243e-16
328.2828282828283,16.161616161616163,1.8931545304805216e-16
341.4141414141414,16.161616161616163,2.8561697034425076e-16
354.54545454545456,16.161616161616163,4.265319912817811e-16
367.67676767676767,16.161616161616163,6.304989467309281e-16
380.80808080808083,16.161616161616163,9.225243186644059e-16
393.93939393939394,16.161616161616163,1.336065049727285e-15
407.0707070707071,16.161616161616163,1.9152673611229705e-15
420.2020202020202,16.161616161616163,2.717559342111477e-15
433.3333333333333,16.161616161616163,3.816562694936953e-15
446.4646464646465,16.161616161616163,5.3052461580537546e-15
459.5959595959596,16.161616161616163,7.299189363347538e-15
472.72727272727275,16.161616161616163,9.939762516900733e-15
485.85858585858585,16.161616161616163,1.33969573569171e-14
498.989898989899,16.161616161616163,1.7871533387830024e-14
512.1212121212121,16.161616161616163,2.3596077615040363e-14
525.2525252525253,16.161616161616163,3.083452511869798e-14
538.3838383838383,16.161616161616163,3.987966254613596e-14
551.5151515151515,16.161616161616163,5.1048148367487943e-14
564.6464646464647,16.161616161616163,6.467264331405357e-14
577.7777777777778,16.161616161616163,8.109076037890046e-14
590.9090909090909,16.161616161616163,1.00630720669854e-13
604.040404040404,16.161616161616163,1.2359383804419137e-13
617.1717171717172,16.161616161616163,1.5023424332624667e-13
630.3030303030303,16.161616161616163,1.8073658136053932e-13
643.4343434343434,16.161616161616163,2.1519274638566863e-13
656.5656565656566,16.161616161616163,2.5357903142130955e-13
669.6969696969697,16.161616161616163,2.9573531909174993e-13
682.8282828282828,16.161616161616163,3.4134809699613724e-13
695.959595959596,16.161616161616163,3.8993910611232773e-13
709.0909090909091,16.161616161616163,4.4086129967690943e-13
722.2222222222223,16.161616161616163,4.933034892235462e-13
735.3535353535353,16.161616161616163,5.463045872695024e-13
748.4848484848485,16.161616161616163,5.987777445556254e-13
761.6161616161617,16.161616161616163,6.49543964596731e-13
774.7474747474747,16.161616161616163,6.973740167875594e-13
787.8787878787879,16.161616161616163,7.410367301606213e-13
801.010101010101,16.161616161616163,7.793511064784889e-13
814.1414141414142,16.161616161616163,8.11239213508853e-13
827.2727272727273,16.161616161616163,8.35776564937483e-13
840.4040404040404,16.161616161616163,8.522367007037337e-13
853.5353535353536,16.161616161616163,8.601269636605485e-13
866.6666666666666,16.161616161616163,8.592130104244529e-13
879.7979797979798,16.161616161616163,8.495303537174334e-13
892.929292929293,16.161616161616163,8.31382144600268e-13
906.0606060606061,16.161616161616163,8.05323383479985e-13
919.1919191919192,16.161616161616163,7.721327089829964e-13
932.3232323232323,16.161616161616163,7.327737666783949e-13
945.4545454545455,16.161616161616163,6.88348830396783e-13
958.5858585858585,16.161616161616163,6.40047782893176e-13
971.7171717171717,16.161616161616163,5.890957307409126e-13
984.8484848484849,16.161616161616163,5.367024291220706e-13
997.979797979798,16.161616161616163,4.840163504461066e-13
1011.1111111111111,16.161616161616163,4.3208569338204656e-13
1024.2424242424242,16.161616161616163,3.8182795830290146e-13
1037.3737373737374,16.161616161616163,3.3400898128619695e-13
1050.5050505050506,16.161616161616163,2.8923159118659175e-13
1063.6363636363637,16.161616161616163,2.4793339465813226e-13
1076.7676767676767,16.161616161616163,2.1039265076503215e-13
1089.8989898989898,16.161616161616163,1.7674080156906387e-13
1103.030303030303,16.161616161616163,1.4697999143416797e-13
1116.1616161616162,16.161616161616163,1.2100383240332283e-13
1129.2929292929293,16.161616161616163,9.861973834625434e-14
1142.4242424242425,16.161616161616163,7.957132885530691e-14
1155.5555555555557,16.161616161616163,6.355966147393748e-14
1168.6868686868686,16.161616161616163,5.026235271140887e-14
1181.8181818181818,16.161616161616163,3.934996166248586e-14
1194.949494949495,16.161616161616163,3.0499307277023755e-14
1208.080808080808,16.161616161616163,2.340365064825781e-14
1221.2121212121212,16.161616161616163,1.777988388085861e-14
1234.3434343434344,16.161616161616163,1.3373021186540975e-14
1247.4747474747476,16.161616161616163,9.958386129422747e-15
1260.6060606060605,16.161616161616163,7.34193653373608e-15
1273.7373737373737,16.161616161616163,5.359173823508757e-15
1286.8686868686868,16.161616161616163,3.873056491196973e-15
1300.0,16.161616161616163,2.7712882875140327e-15
0.0,24.242424242424242,6.011224208310068e-22
13.131313131313131,24.242424242424242,1.1670346952710718e-21
26.262626262626263,24.242424242424242,2.243252346373053e-21
39.39393939393939,24.242424242424242,4.269163660500812e-21
52.525252525252526,24.242424242424242,8.044044523751173e-21
65.65656565656566,24.242424242424242,1.5006163848317862e-20
78.78787878787878,24.242424242424242,2.771564036901195e-20
91.91919191919192,24.242424242424242,5.0679989330940187e-20
105.05050505050505,24.242424242424242,9.174886849211222e-20
118.18181818181819,24.242424242424242,1.644423436124382e-19
131.31313131313132,24.242424242424242,2.917906460732728e-19
144.44444444444446,24.242424242424242,5.125895720256666e-19
157.57575757575756,24.242424242424242,8.914658015238861e-19
170.7070707070707,24.242424242424242,1.5348709183476685e-18
183.83838383838383,24.242424242424242,2.616175744698317e-18
196.96969696969697,24.242424242424242,4.4145395312992966e-18
210.1010101010101,24.242424242424242,7.374334138861065e-18
223.23232323232324,24.242424242424242,1.2194795261829369e-17
236.36363636363637,24.242424242424242,1.996346110592907e-17
249.4949494949495,24.242424242424242,3.2352068134484926e-17
262.62626262626264,24.242424242424242,5.1900119100357435e-17
275.75757575757575,24.242424242424242,8.241948968408443e-17
288.8888888888889,24.242424242424242,1.2956326385159612e-16
302.020202020202,24.242424242424242,2.0161337418240118e-16
315.1515151515151,24.242424242424242,3.1055418818400554e-16
328.2828282828283,24.242424242424242,4.735121554394524e-16
341.4141414141414,24.242424242424242,7.14653737711953e-16
354.54545454545456,24.242424242424242,1.067643190893352e-15
367.67676767676767,24.242424242424242,1.578765760775297e-15
380.80808080808083,24.242424242424242,2.3108171835523587e-15
393.93939393939394,24.242424242424242,3.347843100961455e-15
407.0707070707071,24.242424242424242,4.800777750077138e-15
420.2020202020202,24.242424242424242,6.8139756949792564e-15
433.3333333333333,24.242424242424242,9.572549639792772e-15
446.4646464646465,24.242424242424242,1.331031908563911e-14
459.5959595959596,24.242424242424242,1.8318038689661297e-14
472.72727272727275,24.242424242424242,2.495141495125719e-14
485.85858585858585,24.242424242424242,3.36382429567391e-14
498.989898989899,24.242424242424242,4.488381415950186e-14
512.1212121212121,24.242424242424242,5.927357981233015e-14
525.2525252525253,24.242424242424242,7.74719260590281e-14
538.3838383838383,24.242424242424242,1.002158530738812e-13
551.5151515151515,24.242424242424242,1.2830238091088604e-13
564.6464646464647,24.242424242424242,1.6256865622497856e-13
577.7777777777778,24.242424242424242,2.0386402844669685e-13
590.9090909090909,24.242424242424242,2.5301381280729803e-13
604.040404040404,24.242424242424242,3.1077505756596326e-13
617.1717171717172,24.242424242424242,3.7778536212730096e-13
630.3030303030303,24.242424242424242,4.545066089749588e-13
643.4343434343434,24.242424242424242,5.411663123475298e-13
656.5656565656566,24.242424242424242,6.377000694855559e-13
669.6969696969697,24.242424242424242,7.436992335623845e-13
682.8282828282828,24.242424242424242,8.583683159045901e-13
695.959595959596,24.242424242424242,9.804966822532806e-13
709.0909090909091,24.242424242424242,1.1084487680097772e-12
722.2222222222223,24.242424242424242,1.240176267801911e-12
735.3535353535353,24.242424242424242,1.3732545646954468e-12
748.4848484848485,24.242424242424242,1.5049441109967055e-12
761.6161616161617,24.242424242424242,1.6322756604508799e-12
774.7474747474747,24.242424242424242,1.7521563265876744e-12
787.8787878787879,24.242424242424242,1.8614915786277222e-12
801.010101010101,24.242424242424242,1.9573166705439567e-12
814.1414141414142,24.242424242424242,2.036929806748626e-12
827.2727272727273,24.242424242424242,2.098018724575505e-12
840.4040404040404,24.242424242424242,2.138772414185e-12
853.5353535353536,24.242424242424242,2.1579704314198596e-12
866.6666666666666,24.242424242424242,2.1550436481378765e-12
879.7979797979798,24.242424242424242,2.130102218073391e-12
892.929292929293,24.242424242424242,2.0839288459801205e-12
906.0606060606061,24.242424242424242,2.0179379244870787e-12
919.1919191919192,24.242424242424242,1.9341035198767636e-12
932.3232323232323,24.242424242424242,1.834861325660399e-12
945.4545454545455,24.242424242424242,1.7229913740444892e-12
958.5858585858585,24.242424242424242,1.6014893646114336e-12
971.7171717171717,24.242424242424242,1.4734348661570015e-12
984.8484848484849,24.242424242424242,1.3418643708555335e-12
997.979797979798,24.242424242424242,1.2096562952167873e-12
1011.1111111111111,24.242424242424242,1.079433650185106e-12
1024.2424242424242,24.242424242424242,9.534884019616205e-13
1037.3737373737374,24.242424242424242,8.337296926863132e-13
1050.5050505050506,24.242424242424242,7.216562608479751e-13
1063.6363636363637,24.242424242424242,6.183517497415668e-13
1076.7676767676767,24.242424242424242,5.245002387537684e-13
1089.8989898989898,24.242424242424242,4.4041835428930434e-13
1103.030303030303,24.242424242424242,3.6609974696804785e-13
1116.1616161616162,24.242424242424242,3.012675490125614e-13
1129.2929292929293,24.242424242424242,2.4543060483081353e-13
1142.4242424242425,24.242424242424242,1.9793972766231776e-13
1155.5555555555557,24.242424242424242,1.5804089068543218e-13
1168.6868686868686,24.242424242424242,1.2492302390204516e-13
1181.8181818181818,24.242424242424242,9.775887636059904e-14
1194.949494949495,24.242424242424242,7.573814800143022e-14
1208.080808080808,24.242424242424242,5.809274522319647e-14
1221.2121212121212,24.242424242424242,4.4114536784891254e-14
1234.3434343434344,24.242424242424242,3.316636767193122e-14
1247.4747474747476,24.242424242424242,2.468732948808515e-14
1260.6060606060605,24.242424242424242,1.8193400186323966e-14
1273.7373737373737,24.242424242424242,1.3274574828576664e-14
1286.8686868686868,24.242424242424242,9.589537850138318e-15
1300.0,24.242424242424242,6.858801870734402e-15
0.0,32.323232323232325,1.460398156799155e-21
13.131313131313131,32.323232323232325,2.836451396087213e-21
26.262626262626263,32.323232323232325,5.454497926861998e-21
39.39393939393939,32.323232323232325,1.0384994573643838e-20
52.525252525252526,32.323232323232325,1.9576110095583162e-20
65.65656565656566,32.323232323232325,3.653521015267888e-20
78.78787878787878,32.323232323232325,6.750846621430678e-20
91.91919191919192,32.323232323232325,1.2349873431045566e-19
105.05050505050505,32.323232323232325,2.236765739570898e-19
118.18181818181819,32.323232323232325,4.0107741199006205e-19
131.31313131313132,32.323232323232325,7.120024248898312e-19
144.44444444444446,32.323232323232325,1.2513420950198163e-18
157.57575757575756,32.323232323232325,2.1772464112066908e-18
