X坐标_m,Y坐标_m,污染物浓度_mg/L
0.0,0.0,1.7376552184903462e-99
13.131313131313131,0.0,3.789947673873245e-98
26.262626262626263,0.0,7.789686043139372e-97
39.39393939393939,0.0,1.5087627381817236e-95
52.525252525252526,0.0,2.753805344804986e-94
65.65656565656566,0.0,4.736458935046422e-93
78.78787878787878,0.0,7.676786075503517e-92
91.91919191919192,0.0,1.1724842593329616e-90
105.05050505050505,0.0,1.687459047168112e-89
118.18181818181819,0.0,2.288520162946399e-88
131.31313131313132,0.0,2.9246108974245284e-87
144.44444444444446,0.0,3.521841382663705e-86
157.57575757575756,0.0,3.996283306081581e-85
170.7070707070707,0.0,4.272911426705447e-84
183.83838383838383,0.0,4.304958447946282e-83
196.96969696969697,0.0,4.086840994083198e-82
210.1010101010101,0.0,3.6557494469988857e-81
223.23232323232324,0.0,3.0812800083081436e-80
236.36363636363637,0.0,2.447079553164152e-79
249.4949494949495,0.0,1.831147271655917e-78
262.62626262626264,0.0,1.2910789006233329e-77
275.75757575757575,0.0,8.576945656234508e-77
288.8888888888889,0.0,5.368573824376295e-76
302.020202020202,0.0,3.1661218650319906e-75
315.1515151515151,0.0,1.7592792785901344e-74
328.2828282828283,0.0,9.210357001908157e-74
341.4141414141414,0.0,4.5430627602474944e-73
354.54545454545456,0.0,2.1112891682999332e-72
367.67676767676767,0.0,9.244205166803514e-72
380.80808080808083,0.0,3.813383857573928e-71
393.93939393939394,0.0,1.482063635479391e-70
407.0707070707071,0.0,5.4266888983405785e-70
420.2020202020202,0.0,1.8720230938810902e-69
433.3333333333333,0.0,6.084042534802767e-69
446.4646464646465,0.0,1.8628364038369687e-68
459.5959595959596,0.0,5.3734773613567265e-68
472.72727272727275,0.0,1.4602637222999985e-67
485.85858585858585,0.0,3.738517465103667e-67
498.989898989899,0.0,9.016895039546724e-67
512.1212121212121,0.0,2.0488091390907045e-66
525.2525252525253,0.0,4.3856145803963674e-66
538.3838383838383,0.0,8.843856000151264e-66
551.5151515151515,0.0,1.6800920258023694e-65
564.6464646464647,0.0,3.0067883326607038e-65
577.7777777777778,0.0,5.069316443203327e-65
590.9090909090909,0.0,8.051398237781438e-65
604.040404040404,0.0,1.2046680691133708e-64
617.1717171717172,0.0,1.6979962560961174e-64
630.3030303030303,0.0,2.254647137828077e-64
643.4343434343434,0.0,2.8202816677079885e-64
656.5656565656566,0.0,3.323366171232134e-64
669.6969696969697,0.0,3.6892298489079786e-64
682.8282828282828,0.0,3.858027157405831e-64
695.959595959596,0.0,3.8007330904650126e-64
709.0909090909091,0.0,3.527302465585982e-64
722.2222222222223,0.0,3.0838426939466326e-64
735.3535353535353,0.0,2.539902770177965e-64
748.4848484848485,0.0,1.97069187821227e-64
761.6161616161617,0.0,1.4404518298055247e-64
774.7474747474747,0.0,9.918796038660207e-65
787.8787878787879,0.0,6.434301708633264e-65
801.010101010101,0.0,3.932134402555819e-65
814.1414141414142,0.0,2.26382146877094e-65
827.2727272727273,0.0,1.2278504598591344e-65
840.4040404040404,0.0,6.273949598765626e-66
853.5353535353536,0.0,3.0201724332739085e-66
866.6666666666666,0.0,1.3696849546879132e-66
879.7979797979798,0.0,5.852090942295123e-67
892.929292929293,0.0,2.3556253011775553e-67
906.0606060606061,0.0,8.933251428892109e-68
919.1919191919192,0.0,3.1917190135469028e-68
932.3232323232323,0.0,1.0743730937455991e-68
945.4545454545455,0.0,3.4072553977986535e-69
958.5858585858585,0.0,1.0180687946294818e-69
971.7171717171717,0.0,2.8660005831888388e-70
984.8484848484849,0.0,7.601617598941502e-71
997.979797979798,0.0,1.8996355083043627e-71
1011.1111111111111,0.0,4.4727332943483333e-72
1024.2424242424242,0.0,9.922432471762703e-73
