X坐标_m,Y坐标_m,污染物浓度_mg/L
0.0,0.0,2.6261486755612535e-12
13.131313131313131,0.0,3.4919179316606275e-12
26.262626262626263,0.0,4.6336122019526816e-12
39.39393939393939,0.0,6.13592963724551e-12
52.525252525252526,0.0,8.108489549625735e-12
65.65656565656566,0.0,1.069281632299036e-11
78.78787878787878,0.0,1.4071170947635821e-11
91.91919191919192,0.0,1.8477685657801748e-11
105.05050505050505,0.0,2.4212359649205273e-11
118.18181818181819,0.0,3.165859664515652e-11
131.31313131313132,0.0,4.130511142387956e-11
144.44444444444446,0.0,5.3773205894662525e-11
157.57575757575756,0.0,6.985061978788461e-11
170.7070707070707,0.0,9.053340062027929e-11
183.83838383838383,0.0,1.170775165985591e-10
196.96969696969697,0.0,1.5106225888119863e-10
210.1010101010101,0.0,1.9446785039653623e-10
223.23232323232324,0.0,2.497701012100188e-10
236.36363636363637,0.0,3.200554287280537e-10
249.4949494949495,0.0,4.09160097500818e-10
262.62626262626264,0.0,5.218381295693573e-10
275.75757575757575,0.0,6.63962992162464e-10
288.8888888888889,0.0,8.427688830350925e-10
302.020202020202,0.0,1.0671382002702349e-09
315.1515151515151,0.0,1.3479425952772245e-09
328.2828282828283,0.0,1.6984458536940697e-09
341.4141414141414,0.0,2.134777713392768e-09
354.54545454545456,0.0,2.6764885914679104e-09
367.67676767676767,0.0,3.347196027363317e-09
380.80808080808083,0.0,4.175334425900505e-09
393.93939393939394,0.0,5.1950203647487695e-09
407.0707070707071,0.0,6.447046272690684e-09
420.2020202020202,0.0,7.98001563898616e-09
433.3333333333333,0.0,9.851633026033893e-09
446.4646464646465,0.0,1.2130161968714481e-08
459.5959595959596,0.0,1.489606329235373e-08
472.72727272727275,0.0,1.8243825403581105e-08
485.85858585858585,0.0,2.228399664123627e-08
498.989898989899,0.0,2.714542775741521e-08
512.1212121212121,0.0,3.297772997679215e-08
525.2525252525253,0.0,3.9953950809161706e-08
538.3838383838383,0.0,4.8273465831255626e-08
551.5151515151515,0.0,5.816507999011806e-08
564.6464646464647,0.0,6.989032661107121e-08
577.7777777777778,0.0,8.374694623969545e-08
590.9090909090909,0.0,1.0007252075482582e-07
604.040404040404,0.0,1.192482309304703e-07
617.1717171717172,0.0,1.4170269789889346e-07
630.3030303030303,0.0,1.679158609034685e-07
643.4343434343434,0.0,1.9842283548474575e-07
656.5656565656566,0.0,2.3381768799918342e-07
669.6969696969697,0.0,2.747570543330818e-07
682.8282828282828,0.0,3.219635230695461e-07
695.959595959596,0.0,3.7622869643289144e-07
709.0909090909091,0.0,4.384158363195891e-07
722.2222222222223,0.0,5.094619978752589e-07
735.3535353535353,0.0,5.90379549634011e-07
748.4848484848485,0.0,6.822569774256887e-07
761.6161616161617,0.0,7.862588692816497e-07
774.7474747474747,0.0,9.036249806040209e-07
787.8787878787879,0.0,1.0356682830431584e-06
801.010101010101,0.0,1.183771906946715e-06
814.1414141414142,0.0,1.3493848959470342e-06
827.2727272727273,0.0,1.5340167032359372e-06
840.4040404040404,0.0,1.7392303722789566e-06
853.5353535353536,0.0,1.9666343600329e-06
866.6666666666666,0.0,2.217872977987427e-06
879.7979797979798,0.0,2.494615445339729e-06
892.929292929293,0.0,2.7985435690733373e-06
906.0606060606061,0.0,3.1313380873490167e-06
919.1919191919192,0.0,3.494663735095865e-06
932.3232323232323,0.0,3.890153113655728e-06
945.4545454545455,0.0,4.319389469405939e-06
958.5858585858585,0.0,4.7838885090754475e-06
971.7171717171717,0.0,5.285079401583883e-06
984.8484848484849,0.0,5.82428513728286e-06
997.979797979798,0.0,6.40270243508421e-06
1011.1111111111111,0.0,7.021381405758617e-06
1024.2424242424242,0.0,7.681205195339795e-06
1037.3737373737374,0.0,8.38286984576235e-06
1050.5050505050506,0.0,9.126864620314483e-06
1063.6363636363637,0.0,9.913453048955627e-06
1076.7676767676767,0.0,1.0742654952827412e-05
1089.8989898989898,0.0,1.1614229708209132e-05
1103.030303030303,0.0,1.2527661007613947e-05
1116.1616161616162,0.0,1.3482143369612468e-05
1129.2929292929293,0.0,1.4476570639272775e-05
1142.4242424242425,0.0,1.550952670783698e-05
1155.5555555555557,0.0,1.6579278663472463e-05
1168.6868686868686,0.0,1.768377256475245e-05
1181.8181818181818,0.0,1.8820632005087996e-05
1194.949494949495,0.0,1.9987159609854156e-05
1208.080808080808,0.0,2.1180341578676392e-05
1221.2121212121212,0.0,2.2396855353557277e-05
1234.3434343434344,0.0,2.3633080459566034e-05
1247.4747474747476,0.0,2.488511252905873e-05
1260.6060606060605,0.0,2.6148780483256824e-05
1273.7373737373737,0.0,2.741966680693597e-05
1286.8686868686868,0.0,2.86931308134403e-05
1300.0,0.0,2.9964334758742875e-05
0.0,8.080808080808081,3.30223676183662e-12
13.131313131313131,8.080808080808081,4.394530095664584e-12
26.262626262626263,8.080808080808081,5.836214171002987e-12
39.39393939393939,8.080808080808081,7.734965938385597e-12
52.525252525252526,8.080808080808081,1.0230282363143972e-11
65.65656565656566,8.080808080808081,1.3502439770840785e-11
78.78787878787878,8.080808080808081,1.7783835523881027e-11
91.91919191919192,8.080808080808081,2.337330253916466e-11
105.05050505050505,8.080808080808081,3.065412080927891e-11
118.18181818181819,8.080808080808081,4.0116610359745256e-11
131.31313131313132,8.080808080808081,5.2386381259424304e-11
144.44444444444446,8.080808080808081,6.825954311861274e-11
157.57575757575756,8.080808080808081,8.874644406209138e-11
170.7070707070707,8.080808080808081,1.1512582287263812e-10
183.83838383838383,8.080808080808081,1.4901162349899668e-10
196.96969696969697,8.080808080808081,1.9243514411248907e-10
210.1010101010101,8.080808080808081,2.4794567894637274e-10
223.23232323232324,8.080808080808081,3.1873336543563916e-10
236.36363636363637,8.080808080808081,4.087785761440418e-10
249.4949494949495,8.080808080808081,5.230328979479313e-10
262.62626262626264,8.080808080808081,6.676375216688927e-10
275.75757575757575,8.080808080808081,8.501857233766006e-10
288.8888888888889,8.080808080808081,1.0800370506981843e-09
302.020202020202,8.080808080808081,1.3686918269644304e-09
315.1515151515151,8.080808080808081,1.730235641959642e-09
328.2828282828283,8.080808080808081,2.1818645944809033e-09
341.4141414141414,8.080808080808081,2.7445031671413408e-09
354.54545454545456,8.080808080808081,3.4435277196600033e-09
367.67676767676767,8.080808080808081,4.30960964792612e-09
380.80808080808083,8.080808080808081,5.379693229450479e-09
393.93939393939394,8.080808080808081,6.698124010577166e-09
407.0707070707071,8.080808080808081,8.31794422830601e-09
420.2020202020202,8.080808080808081,1.0302372133536832e-08
433.3333333333333,8.080808080808081,1.2726482120029284e-08
446.4646464646465,8.080808080808081,1.567910218594627e-08
459.5959595959596,8.080808080808081,1.926494438040905e-08
472.72727272727275,8.080808080808081,2.3606982432601625e-08
485.85858585858585,8.080808080808081,2.8849088643760393e-08
498.989898989899,8.080808080808081,3.5158939266028645e-08
512.1212121212121,8.080808080808081,4.273119392871264e-08
525.2525252525253,8.080808080808081,5.179095014722015e-08
538.3838383838383,8.080808080808081,6.259746852584061e-08
551.5151515151515,8.080808080808081,7.544815792773388e-08
564.6464646464647,8.080808080808081,9.068280264581683e-08
577.7777777777778,8.080808080808081,1.0868800550905208e-07
590.9090909090909,8.080808080808081,1.2990181197618366e-07
604.040404040404,8.080808080808081,1.548184707157657e-07
617.1717171717172,8.080808080808081,1.8399327609739298e-07
630.3030303030303,8.080808080808081,2.1804742761179983e-07
643.4343434343434,8.080808080808081,2.57672830720015e-07
656.5656565656566,8.080808080808081,3.0363675325963493e-07
669.6969696969697,8.080808080808081,3.567862415925385e-07
682.8282828282828,8.080808080808081,4.1805219146704007e-07
695.959595959596,8.080808080808081,4.884529604056625e-07
709.0909090909091,8.080808080808081,5.690974016383235e-07
722.2222222222223,8.080808080808081,6.611871944946534e-07
735.3535353535353,8.080808080808081,7.660183430464394e-07
748.4848484848485,8.080808080808081,8.849817139228051e-07
761.6161616161617,8.080808080808081,1.0195624858398716e-06
774.7474747474747,8.080808080808081,1.171338387679903e-06
787.8787878787879,8.080808080808081,1.3419766090533959e-06
801.010101010101,8.080808080808081,1.5332292772509812e-06
814.1414141414142,8.080808080808081,1.746927407343556e-06
827.2727272727273,8.080808080808081,1.984973247852933e-06
840.4040404040404,8.080808080808081,2.2493309627565305e-06
853.5353535353536,8.080808080808081,2.5420156114054505e-06
866.6666666666666,8.080808080808081,2.865080410959674e-06
879.7979797979798,8.080808080808081,3.220602290852625e-06
892.929292929293,8.080808080808081,3.6106657752157423e-06
906.0606060606061,8.080808080808081,4.037345256705559e-06
919.1919191919192,8.080808080808081,4.502685753332599e-06
932.3232323232323,8.080808080808081,5.008682268222835e-06
945.4545454545455,8.080808080808081,5.557257900266002e-06
958.5858585858585,8.080808080808081,6.150240880837327e-06
971.7171717171717,8.080808080808081,6.7893407377432115e-06
984.8484848484849,8.080808080808081,7.476123811778532e-06
997.979797979798,8.080808080808081,8.211988373357687e-06
1011.1111111111111,8.080808080808081,8.998139606190041e-06
1024.2424242424242,8.080808080808081,9.835564741545323e-06
