X坐标_m,Y坐标_m,污染物浓度_mg/L
0.0,0.0,3.396219820654652e-12
13.131313131313131,0.0,4.487176799007568e-12
26.262626262626263,0.0,5.917494475488999e-12
39.39393939393939,0.0,7.789025823829249e-12
52.525252525252526,0.0,1.0232979377420246e-11
65.65656565656566,0.0,1.3417992840748292e-11
78.78787878787878,0.0,1.7560307072228598e-11
91.91919191919192,0.0,2.2936550705173678e-11
105.05050505050505,0.0,2.989975911186574e-11
118.18181818181819,0.0,3.889938711361879e-11
131.31313131313132,0.0,5.050623636116527e-11
144.44444444444446,0.0,6.54434095748173e-11
157.57575757575756,0.0,8.462462909482326e-11
170.7070707070707,0.0,1.0920152098733995e-10
183.83838383838383,0.0,1.406217730310441e-10
196.96969696969697,0.0,1.8070043013002817e-10
210.1010101010101,0.0,2.3170699887664398e-10
223.23232323232324,0.0,2.9647149870876354e-10
236.36363636363637,0.0,3.78513124482256e-10
249.4949494949495,0.0,4.821957776543047e-10
262.62626262626264,0.0,6.129153828640241e-10
275.75757575757575,0.0,7.773246341802694e-10
288.8888888888889,0.0,9.836016093249107e-10
302.020202020202,0.0,1.241769546895394e-09
315.1515151515151,0.0,1.5640759940166505e-09
328.2828282828283,0.0,1.965440489258608e-09
341.4141414141414,0.0,2.4639809330641456e-09
354.54545454545456,0.0,3.0816297954576346e-09
367.67676767676767,0.0,3.844852293145601e-09
380.80808080808083,0.0,4.785479604130565e-09
393.93939393939394,0.0,5.9416710403468905e-09
407.0707070707071,0.0,7.359019824059517e-09
420.2020202020202,0.0,9.091817662193913e-09
433.3333333333333,0.0,1.1204493629054116e-08
446.4646464646465,0.0,1.3773242891767439e-08
459.5959595959596,0.0,1.6887860480205564e-08
472.72727272727275,0.0,2.065379454774205e-08
485.85858585858585,0.0,2.5194432324360857e-08
498.989898989899,0.0,3.065363016469762e-08
512.1212121212121,0.0,3.719849668066755e-08
525.2525252525253,0.0,4.502243486925962e-08
538.3838383838383,0.0,5.434844535967494e-08
551.5151515151515,0.0,6.54326883834216e-08
564.6464646464647,0.0,7.856829680702315e-08
577.7777777777778,0.0,9.408942657120624e-08
590.9090909090909,0.0,1.1237552418782112e-07
604.040404040404,0.0,1.3385578361706815e-07
617.1717171717172,0.0,1.5901375697075064e-07
630.3030303030303,0.0,1.883920751779722e-07
643.4343434343434,0.0,2.225972261510014e-07
656.5656565656566,0.0,2.623043292699029e-07
669.6969696969697,0.0,3.0826183635715697e-07
682.8282828282828,0.0,3.612960809494034e-07
695.959595959596,0.0,4.2231558981882265e-07
709.0909090909091,0.0,4.923150635863241e-07
722.2222222222223,0.0,5.723789271397139e-07
735.3535353535353,0.0,6.636843456544078e-07
748.4848484848485,0.0,7.675035985318789e-07
761.6161616161617,0.0,8.852057017220809e-07
774.7474747474747,0.0,1.0182571688542887e-06
787.8787878787879,0.0,1.1682218035069576e-06
801.010101010101,0.0,1.3367594189040207e-06
814.1414141414142,0.0,1.5256233873927828e-06
827.2727272727273,0.0,1.7366569302521654e-06
840.4040404040404,0.0,1.9717880686677684e-06
853.5353535353536,0.0,2.2330231690137403e-06
866.6666666666666,0.0,2.522439029777347e-06
879.7979797979798,0.0,2.842173473384695e-06
892.929292929293,0.0,3.1944144236318317e-06
906.0606060606061,0.0,3.5813874681580055e-06
919.1919191919192,0.0,4.0053419251534976e-06
932.3232323232323,0.0,4.46853545398978e-06
945.4545454545455,0.0,4.973217270396449e-06
958.5858585858585,0.0,5.521610047883169e-06
971.7171717171717,0.0,6.115890608009135e-06
984.8484848484849,0.0,6.758169522537094e-06
997.979797979798,0.0,7.450469770182702e-06
1011.1111111111111,0.0,8.194704609306995e-06
1024.2424242424242,0.0,8.992654845241898e-06
1037.3737373737374,0.0,9.845945686749262e-06
1050.5050505050506,0.0,1.075602340017846e-05
1063.6363636363637,0.0,1.1724131982015772e-05
1076.7676767676767,0.0,1.2751290080544321e-05
1089.8989898989898,0.0,1.3838268405115408e-05
1103.030303030303,0.0,1.4985567866950331e-05
1116.1616161616162,0.0,1.6193398698354126e-05
1129.2929292929293,0.0,1.746166079765201e-05
1142.4242424242425,0.0,1.878992554500722e-05
1155.5555555555557,0.0,2.0177419329509497e-05
1168.6868686868686,0.0,2.1623009020528366e-05
1181.8181818181818,0.0,2.3125189606308332e-05
1194.949494949495,0.0,2.4682074210171715e-05
1208.080808080808,0.0,2.6291386679537466e-05
1221.2121212121212,0.0,2.79504569253231e-05
1234.3434343434344,0.0,2.9656219169263964e-05
1247.4747474747476,0.0,3.1405213234367936e-05
1260.6060606060605,0.0,3.319358898925724e-05
1273.7373737373737,0.0,3.501711403069412e-05
1286.8686868686868,0.0,3.687118466032481e-05
1300.0,0.0,3.8750840181820485e-05
0.0,8.080808080808081,4.219510837300371e-12
13.131313131313131,8.080808080808081,5.580052077551991e-12
26.262626262626263,8.080808080808081,7.365553780468658e-12
39.39393939393939,8.080808080808081,9.704130127487151e-12
52.525252525252526,8.080808080808081,1.2760998441384878e-11
65.65656565656566,8.080808080808081,1.6748736854635704e-11
78.78787878787878,8.080808080808081,2.194022545650854e-11
91.91919191919192,8.080808080808081,2.8684926710531035e-11
105.05050505050505,8.080808080808081,3.7429307622459835e-11
118.18181818181819,8.080808080808081,4.874238178776771e-11
131.31313131313132,8.080808080808081,6.334755871724962e-11
144.44444444444446,8.080808080808081,8.216223585502754e-11
157.57575757575756,8.080808080808081,1.06346861021109e-10
170.7070707070707,8.080808080808081,1.3736553555344248e-10
183.83838383838383,8.080808080808081,1.7706062737969047e-10
196.96969696969697,8.080808080808081,2.2774432492223232e-10
210.1010101010101,8.080808080808081,2.9231059335406243e-10
223.23232323232324,8.080808080808081,3.743716001560862e-10
236.36363636363637,8.080808080808081,4.784233623791441e-10
249.4949494949495,8.080808080808081,6.100461376046242e-10
262.62626262626264,8.080808080808081,7.761459368733038e-10
275.75757575757575,8.080808080808081,9.852444812232691e-10
