X坐标_m,Y坐标_m,污染物浓度_mg/L
262.62626262626264,0.0,0.0
958.5858585858584,8.080808080808081,0.0
249.4949494949495,16.161616161616163,0.0
709.0909090909091,32.323232323232325,0.0
971.7171717171716,32.323232323232325,0.0
525.2525252525253,48.48484848484848,0.0
787.8787878787879,48.48484848484848,0.0
420.2020202020202,64.64646464646465,0.0
1089.8989898989898,64.64646464646465,0.0
748.4848484848485,72.72727272727273,0.0
1234.3434343434344,88.8888888888889,0.0
1142.4242424242425,96.96969696969695,0.0
1300.0,96.96969696969695,0.0
1221.2121212121212,113.13131313131314,0.0
354.54545454545456,121.21212121212122,0.0
1260.6060606060605,121.21212121212122,0.0
157.57575757575756,137.37373737373738,0.0
945.4545454545456,137.37373737373738,0.0
302.020202020202,145.45454545454547,0.0
1273.7373737373737,153.53535353535355,0.0
328.2828282828283,161.61616161616163,0.0
1050.5050505050506,169.69696969696972,0.0
302.020202020202,185.85858585858588,0.0
485.85858585858585,185.85858585858588,0.0
564.6464646464647,193.93939393939397,0.0
91.91919191919192,210.1010101010101,0.0
735.3535353535353,210.1010101010101,0.0
341.4141414141414,218.1818181818182,0.0
485.85858585858585,226.26262626262627,0.0
787.8787878787879,234.34343434343435,0.0
170.7070707070707,242.42424242424244,0.0
13.131313131313131,258.5858585858586,0.0
1050.5050505050506,258.5858585858586,0.0
538.3838383838383,266.6666666666667,0.0
1076.767676767677,274.7474747474748,0.0
997.979797979798,282.82828282828285,0.0
157.57575757575756,290.90909090909093,0.0
52.525252525252526,298.989898989899,0.0
617.1717171717172,307.0707070707071,0.0
853.5353535353536,323.23232323232327,0.0
919.1919191919192,331.3131313131313,0.0
984.8484848484848,331.3131313131313,0.0
78.78787878787878,339.39393939393943,0.0
498.989898989899,347.4747474747475,0.0
236.3636363636364,355.5555555555556,0.0
65.65656565656566,363.6363636363637,0.0
236.3636363636364,371.71717171717177,0.0
196.96969696969697,379.7979797979799,0.0
26.262626262626263,387.8787878787879,0.0
840.4040404040404,395.959595959596,0.0
1129.292929292929,404.040404040404,0.0
196.96969696969697,412.1212121212121,0.0
892.929292929293,420.2020202020202,0.0
761.6161616161617,428.2828282828283,0.0
656.5656565656566,436.3636363636364,0.0
1181.8181818181818,436.3636363636364,0.0
695.959595959596,452.5252525252525,0.0
433.3333333333333,460.6060606060606,0.0
1037.3737373737374,468.6868686868687,0.0
1208.080808080808,476.7676767676768,0.0
827.2727272727273,484.8484848484849,0.0
774.7474747474747,492.92929292929296,0.0
131.31313131313132,501.010101010101,0.0
669.6969696969697,509.0909090909091,0.0
52.525252525252526,517.1717171717172,0.0
538.3838383838383,525.2525252525253,0.0
643.4343434343434,533.3333333333334,0.0
630.3030303030303,541.4141414141415,0.0
380.8080808080808,549.4949494949495,0.0
879.7979797979798,557.5757575757576,0.0
1024.2424242424242,565.6565656565657,0.0
380.8080808080808,573.7373737373738,0.0
393.93939393939394,581.8181818181819,0.0
407.0707070707071,589.89898989899,0.0
590.9090909090909,589.89898989899,0.0
223.23232323232324,597.979797979798,0.0
892.929292929293,606.0606060606061,0.0
722.2222222222223,614.1414141414142,0.0
551.5151515151515,630.3030303030304,0.0
932.3232323232324,630.3030303030304,0.0
26.262626262626263,646.4646464646465,0.0
118.1818181818182,654.5454545454546,0.0
1260.6060606060605,654.5454545454546,0.0
118.1818181818182,670.7070707070708,0.0
341.4141414141414,670.7070707070708,0.0
1011.1111111111112,686.868686868687,0.0
814.1414141414142,694.949494949495,0.0
866.6666666666666,703.0303030303031,0.0
1234.3434343434344,703.0303030303031,0.0
446.4646464646465,719.1919191919193,0.0
1168.6868686868686,719.1919191919193,0.0
459.5959595959596,727.2727272727274,0.0
1129.292929292929,743.4343434343435,0.0
1155.5555555555557,751.5151515151516,0.0
275.7575757575757,759.5959595959597,0.0
1116.1616161616162,759.5959595959597,0.0
577.7777777777778,767.6767676767678,0.0
682.8282828282828,783.8383838383838,0.0
1076.767676767677,783.8383838383838,0.0
604.040404040404,800.0,0.0
